row,fold
0,0
1,2
2,1
3,0
4,2
5,1
6,3
7,3
8,4
9,2
10,2
11,0
12,1
13,4
14,2
15,1
16,2
17,4
18,1
19,0
20,1
21,0
22,0
23,1
24,2
25,0
26,2
27,0
28,3
29,2
30,4
31,1
32,1
33,0
34,4
35,2
36,1
37,0
38,0
39,3
40,3
41,2
42,1
43,2
44,3
45,0
46,1
47,1
48,0
49,3
50,3
51,0
52,1
53,4
54,1
55,2
56,3
57,0
58,4
59,4
60,4
61,0
62,0
63,2
64,0
65,2
66,1
67,1
68,4
69,3
70,4
71,1
72,1
73,4
74,0
75,0
76,4
77,3
78,2
79,4
80,0
81,0
82,4
83,2
84,4
85,0
86,3
87,1
88,1
89,1
90,0
91,4
92,4
93,3
94,4
95,2
96,0
97,1
98,3
99,4
100,4
101,3
102,1
103,2
104,4
105,1
106,0
107,3
108,2
109,4
110,2
111,2
112,1
113,4
114,0
115,4
116,2
117,3
118,3
119,0
120,3
121,3
122,1
123,0
124,3
125,4
126,0
127,2
128,1
129,4
130,0
131,0
132,1
133,4
134,1
135,2
136,1
137,0
138,3
139,0
140,3
141,4
142,3
143,2
144,4
145,3
146,4
147,3
148,0
149,2
150,2
151,1
152,3
153,0
154,2
155,3
156,0
157,1
158,2
159,4
160,2
161,1
162,2
163,4
164,2
165,4
166,1
167,3
168,2
169,1
170,0
171,1
172,4
173,4
174,3
175,0
176,2
177,4
178,4
179,1
180,1
181,3
182,4
183,4
184,2
185,2
186,3
187,3
188,3
189,0
190,1
191,0
192,0
193,1
194,1
195,2
196,3
197,1
198,0
199,4
200,3
201,2
202,1
203,1
204,3
205,3
206,1
207,0
208,3
209,0
210,2
211,1
212,0
213,3
214,0
215,0
216,4
217,3
218,3
219,3
220,3
221,1
222,4
223,2
224,3
225,2
226,3
227,1
228,2
229,0
230,2
231,3
232,1
233,4
234,3
235,4
236,3
237,3
238,1
239,4
240,1
241,0
242,4
243,0
244,2
245,0
246,4
247,2
248,4
249,2
250,0
251,2
252,4
253,1
254,3
255,1
256,2
257,3
258,2
259,1
260,4
261,4
262,3
263,3
264,2
265,0
266,2
267,1
268,4
269,2
270,4
271,2
272,4
273,1
274,1
275,0
276,2
277,1
278,2
279,0
280,3
281,2
282,4
283,3
284,1
285,3
286,2
287,4
288,4
289,2
290,1
291,4
292,0
293,0
294,4
295,4
296,3
297,2
298,2
299,3
300,3
301,4
302,3
303,2
304,3
305,4
306,4
307,1
308,4
309,2
310,3
311,4
312,2
313,4
314,0
315,3
316,2
317,4
318,2
319,3
320,0
321,0
322,3
323,4
324,2
325,2
326,3
327,2
328,3
329,3
330,4
331,2
332,4
333,1
334,0
335,4
336,2
337,3
338,1
339,3
340,3
341,1
342,2
343,1
344,0
345,3
346,3
347,1
348,0
349,4
350,4
351,4
352,3
353,1
354,4
355,1
356,1
357,2
358,3
359,4
360,1
361,3
362,2
363,4
364,3
365,1
366,3
367,4
368,4
369,4
370,3
371,3
372,4
373,4
374,0
375,3
376,2
377,1
378,2
379,0
380,4
381,1
382,1
383,2
384,4
385,2
386,0
387,0
388,3
389,1
390,0
391,0
392,2
393,1
394,0
395,3
396,1
397,2
398,3
399,0
400,1
401,3
402,4
403,1
404,2
405,0
406,0
407,4
408,3
409,2
410,4
411,3
412,0
413,3
414,4
415,2
416,0
417,3
418,4
419,3
420,3
421,0
422,2
423,3
424,0
425,3
426,1
427,2
428,2
429,3
430,2
431,2
432,2
433,3
434,1
435,4
436,3
437,0
438,0
439,0
440,0
441,1
442,1
443,3
444,1
445,0
446,3
447,1
448,4
449,4
450,3
451,2
452,1
453,1
454,0
455,0
456,0
457,1
458,1
459,1
460,3
461,0
462,3
463,2
464,4
465,4
466,0
467,0
468,0
469,2
470,3
471,4
472,4
473,0
474,2
475,2
476,4
477,4
478,1
479,1
480,3
481,4
482,4
483,1
484,1
485,2
486,0
487,4
488,2
489,0
490,3
491,1
492,2
493,1
494,3
495,3
496,1
497,0
498,4
499,1
500,1
501,4
502,3
503,0
504,2
505,3
506,1
507,4
508,3
509,2
510,4
511,2
512,3
513,1
514,1
515,0
516,2
517,0
518,0
519,1
520,1
521,4
522,2
523,4
524,3
525,3
526,0
527,4
528,1
529,1
530,3
531,2
532,2
533,1
534,0
535,1
536,0
537,0
538,4
539,0
540,2
541,3
542,3
543,4
544,0
545,1
546,3
547,2
548,3
549,0
550,0
551,3
552,1
553,2
554,2
555,2
556,1
557,2
558,3
559,3
560,2
561,0
562,3
563,0
564,3
565,1
566,4
567,1
568,4
569,1
570,2
571,0
572,4
573,2
574,0
575,4
576,0
577,0
578,3
579,0
580,4
581,1
582,0
583,3
584,0
585,0
586,4
587,4
588,3
589,0
590,3
591,2
592,4
593,4
594,4
595,2
596,2
597,2
598,2
599,1
600,3
601,4
602,3
603,4
604,2
605,1
606,4
607,3
608,2
609,0
610,4
611,1
612,0
613,3
614,3
615,3
616,1
617,4
618,4
619,1
620,2
621,1
622,0
623,2
624,4
625,0
626,2
627,3
628,3
629,3
630,3
631,1
632,3
633,2
634,3
635,2
636,4
637,2
638,2
639,0
640,2
641,3
642,0
643,1
644,2
645,1
646,1
647,0
648,3
649,3
650,3
651,4
652,4
653,4
654,4
655,0
656,1
657,1
658,1
659,4
660,1
661,0
662,0
663,4
664,4
665,3
666,4
667,3
668,4
669,0
670,0
671,1
672,2
673,2
674,1
675,0
676,3
677,0
678,2
679,4
680,4
681,3
682,4
683,3
684,1
685,4
686,2
687,1
688,0
689,1
690,0
691,2
692,2
693,3
694,2
695,0
696,0
697,3
698,0
699,2
700,3
701,4
702,4
703,4
704,3
705,2
706,3
707,4
708,2
709,0
710,4
711,0
712,2
713,2
714,0
715,4
716,4
717,3
718,3
719,0
720,1
721,2
722,0
723,1
724,4
725,3
726,3
727,0
728,4
729,2
730,0
731,2
732,4
733,3
734,2
735,0
736,3
737,4
738,4
739,0
740,4
741,2
742,2
743,1
744,2
745,2
746,3
747,4
748,1
749,0
750,1
751,0
752,3
753,3
754,1
755,2
756,1
757,2
758,3
759,2
760,2
761,2
762,1
763,1
764,3
765,1
766,0
767,4
768,3
769,2
770,3
771,4
772,0
773,3
774,0
775,0
776,2
777,1
778,3
779,4
780,2
781,2
782,1
783,0
784,4
785,4
786,1
787,1
788,1
789,4
790,1
791,0
792,4
793,2
794,0
795,0
796,4
797,0
798,0
799,0
800,2
801,0
802,0
803,4
804,0
805,0
806,0
807,1
808,1
809,0
810,0
811,1
812,3
813,3
814,0
815,3
816,2
817,1
818,0
819,0
820,3
821,0
822,3
823,4
824,3
825,3
826,4
827,4
828,4
829,0
830,1
831,3
832,2
833,0
834,1
835,0
836,2
837,0
838,1
839,0
840,1
841,1
842,0
843,3
844,4
845,3
846,1
847,0
848,3
849,1
850,2
851,3
852,2
853,1
854,0
855,4
856,3
857,3
858,1
859,1
860,2
861,4
862,4
863,2
864,4
865,0
866,3
867,3
868,4
869,0
870,2
871,0
872,1
873,2
874,4
875,3
876,1
877,1
878,4
879,4
880,4
881,3
882,4
883,0
884,2
885,3
886,1
887,1
888,3
889,2
890,2
891,0
892,1
893,2
894,4
895,0
896,0
897,0
898,0
899,2
900,0
901,3
902,0
903,2
904,2
905,3
906,3
907,1
908,1
909,3
910,0
911,3
912,0
913,1
914,0
915,3
916,2
917,1
918,1
919,4
920,0
921,0
922,4
923,1
924,3
925,3
926,4
927,0
928,2
929,1
930,2
931,3
932,2
933,0
934,2
935,0
936,0
937,0
938,2
939,4
940,4
941,3
942,2
943,3
944,0
945,3
946,0
947,2
948,2
949,3
950,2
951,4
952,4
953,1
954,3
955,0
956,3
957,3
958,2
959,2
960,2
961,1
962,0
963,1
964,1
965,2
966,2
967,0
968,1
969,0
970,1
971,1
972,2
973,4
974,1
975,3
976,3
977,1
978,3
979,0
980,4
981,0
982,0
983,3
984,0
985,3
986,1
987,1
988,2
989,1
990,4
991,1
992,4
993,3
994,3
995,0
996,0
997,2
998,0
999,2
1000,0
1001,0
1002,1
1003,0
1004,0
1005,3
1006,3
1007,3
1008,4
1009,1
1010,4
1011,2
1012,2
1013,1
1014,2
1015,3
1016,3
1017,3
1018,3
1019,4
1020,1
1021,2
1022,2
1023,0
1024,1
1025,4
1026,1
1027,1
1028,1
1029,2
1030,1
1031,0
1032,2
1033,0
1034,4
1035,3
1036,0
1037,4
1038,2
1039,4
1040,4
1041,0
1042,1
1043,1
1044,1
1045,0
1046,4
1047,2
1048,1
1049,1
1050,2
1051,2
1052,4
1053,4
1054,1
1055,1
1056,1
1057,4
1058,0
1059,2
1060,4
1061,1
1062,1
1063,2
1064,3
1065,2
1066,0
1067,3
1068,3
1069,3
1070,4
1071,1
1072,1
1073,2
1074,1
1075,4
1076,3
1077,0
1078,1
1079,0
1080,0
1081,1
1082,0
1083,2
1084,4
1085,0
1086,1
1087,3
1088,4
1089,2
1090,3
1091,3
1092,2
1093,4
1094,2
1095,0
1096,3
1097,4
1098,4
1099,4
1100,2
1101,1
1102,2
1103,1
1104,2
1105,0
1106,0
1107,1
1108,3
1109,3
1110,3
1111,0
1112,0
1113,1
1114,2
1115,1
1116,1
1117,1
1118,2
1119,3
1120,3
1121,1
1122,0
1123,1
1124,1
1125,2
1126,0
1127,2
1128,0
1129,0
1130,1
1131,4
1132,1
1133,1
1134,2
1135,1
1136,0
1137,3
1138,0
1139,3
1140,0
1141,1
1142,4
1143,4
1144,3
1145,2
1146,0
1147,3
1148,1
1149,1
1150,0
1151,4
1152,4
1153,0
1154,2
1155,3
1156,4
1157,1
1158,0
1159,1
1160,0
1161,0
1162,0
1163,0
1164,1
1165,2
1166,3
1167,3
1168,2
1169,2
1170,3
1171,2
1172,2
1173,1
1174,4
1175,4
1176,4
1177,1
1178,1
1179,2
1180,3
1181,2
1182,3
1183,4
1184,2
1185,1
1186,4
1187,4
1188,0
1189,4
1190,1
1191,3
1192,0
1193,0
1194,1
1195,4
1196,0
1197,2
1198,2
1199,3
1200,3
1201,4
1202,0
1203,4
1204,1
1205,2
1206,1
1207,2
1208,4
1209,4
1210,2
1211,1
1212,1
1213,3
1214,4
1215,0
1216,4
1217,2
1218,4
1219,1
1220,1
1221,1
1222,1
1223,1
1224,4
1225,0
1226,3
1227,2
1228,4
1229,4
1230,0
1231,0
1232,4
1233,1
1234,4
